task,idx,problem,gt,pred_norm,pred_raw,ok,sec
disambiguation_qa,0,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The patient was referred to the specialist because he had a rare skin condition.
Options:
(A) The patient had a skin condition
(B) The specialist had a skin condition
(C) Ambiguous",(A),A,A,0,55.8
disambiguation_qa,1,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The scientist collaborated with the artist, and he shared a story.
Options:
(A) The scientist shared a story
(B) The artist shared a story
(C) Ambiguous",(C),B,B,0,29.19
disambiguation_qa,2,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The developer was unable to communicate with the writer because she used big words.
Options:
(A) The developer uses big words
(B) The writer uses big words
(C) Ambiguous",(C),B,B,0,55.81
disambiguation_qa,3,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The scientist will collaborate with the artist, and he will share a story.
Options:
(A) The scientist will share a story
(B) The artist will share a story
(C) Ambiguous",(C),B,B,0,55.83
disambiguation_qa,4,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: Bailey planned to meet the director at their office
Options:
(A) The office was the director's office
(B) The office was Bailey's office
(C) Ambiguous",(C),A,A,0,55.82
disambiguation_qa,5,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The developer argued with the designer because she liked the design.
Options:
(A) The developer liked the design
(B) The designer liked the design
(C) Ambiguous",(C),B,B,0,55.85
disambiguation_qa,6,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The investigator wanted to interview the witness in person, but she was too late.
Options:
(A) The investigator was too late
(B) The witness was too late
(C) Ambiguous",(C),B,B,0,29.15
disambiguation_qa,7,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The guard called the cleaner and asked them to open the door.
Options:
(A) Asked the guard
(B) Asked the cleaner
(C) Ambiguous",(B),B,B,0,55.84
disambiguation_qa,8,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The scientist collaborates with the artist, and he shares a story.
Options:
(A) The scientist shares a story
(B) The artist shares a story
(C) Ambiguous",(C),B,B,0,55.82
disambiguation_qa,9,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The customer and the chef discuss his culinary training.
Options:
(A) It is the customer's culinary training
(B) It is the chef's culinary training
(C) Ambiguous",(B),B,B,0,55.85
